repetition,round,p1,p1_move,p1_pay,p2,p2_move,p2_pay
1,12,gpt4o,C,3,gemini,C,3
1,13,gpt4o,C,3,gemini,C,3
1,14,gpt4o,C,3,gemini,C,3
1,15,gpt4o,C,3,gemini,C,3
1,16,gpt4o,C,3,gemini,C,3
1,17,gpt4o,C,3,gemini,C,3
1,18,gpt4o,C,3,gemini,C,3
1,19,gpt4o,C,3,gemini,C,3
1,20,gpt4o,C,3,gemini,C,3
2,1,gpt4o,C,3,gemini,C,3
2,2,gpt4o,C,3,gemini,C,3
2,3,gpt4o,C,3,gemini,C,3
2,4,gpt4o,C,3,gemini,C,3
2,5,gpt4o,C,3,gemini,C,3
2,6,gpt4o,C,3,gemini,C,3
2,7,gpt4o,C,3,gemini,C,3
2,8,gpt4o,C,3,gemini,C,3
2,9,gpt4o,C,3,gemini,C,3
2,10,gpt4o,C,3,gemini,C,3
2,11,gpt4o,C,3,gemini,C,3
2,12,gpt4o,C,3,gemini,C,3
2,13,gpt4o,C,3,gemini,C,3
2,14,gpt4o,C,3,gemini,C,3
2,15,gpt4o,C,3,gemini,C,3
2,16,gpt4o,C,3,gemini,C,3
2,17,gpt4o,C,3,gemini,C,3
2,18,gpt4o,C,3,gemini,C,3
2,19,gpt4o,C,3,gemini,C,3
2,20,gpt4o,C,3,gemini,C,3
3,1,gpt4o,C,3,gemini,C,3
3,2,gpt4o,C,3,gemini,C,3
3,3,gpt4o,C,3,gemini,C,3
3,4,gpt4o,C,3,gemini,C,3
3,5,gpt4o,C,3,gemini,C,3
3,6,gpt4o,C,3,gemini,C,3
3,7,gpt4o,C,3,gemini,C,3
3,8,gpt4o,C,3,gemini,C,3
3,9,gpt4o,C,3,gemini,C,3
3,10,gpt4o,C,3,gemini,C,3
3,11,gpt4o,C,3,gemini,C,3
3,12,gpt4o,C,3,gemini,C,3
3,13,gpt4o,C,3,gemini,C,3
3,14,gpt4o,C,3,gemini,C,3
3,15,gpt4o,C,3,gemini,C,3
3,16,gpt4o,C,3,gemini,C,3
3,17,gpt4o,C,3,gemini,C,3
3,18,gpt4o,C,3,gemini,C,3
3,19,gpt4o,C,3,gemini,C,3
3,20,gpt4o,C,3,gemini,C,3
1,1,gpt4o,C,3,deepseek,C,3
1,2,gpt4o,C,3,deepseek,C,3
1,3,gpt4o,C,3,deepseek,C,3
1,4,gpt4o,C,3,deepseek,C,3
1,5,gpt4o,C,3,deepseek,C,3
1,6,gpt4o,C,3,deepseek,C,3
1,7,gpt4o,C,3,deepseek,C,3
1,8,gpt4o,C,3,deepseek,C,3
1,9,gpt4o,C,3,deepseek,C,3
1,10,gpt4o,C,3,deepseek,C,3
1,11,gpt4o,C,3,deepseek,C,3
1,12,gpt4o,C,3,deepseek,C,3
1,13,gpt4o,C,3,deepseek,C,3
1,14,gpt4o,C,3,deepseek,C,3
1,15,gpt4o,C,3,deepseek,C,3
1,16,gpt4o,C,3,deepseek,C,3
1,17,gpt4o,C,3,deepseek,C,3
1,18,gpt4o,C,3,deepseek,C,3
1,19,gpt4o,C,3,deepseek,C,3
1,20,gpt4o,C,3,deepseek,C,3
2,1,gpt4o,C,3,deepseek,C,3
2,2,gpt4o,D,5,deepseek,C,0
2,3,gpt4o,D,5,deepseek,C,0
2,4,gpt4o,D,1,deepseek,D,1
2,5,gpt4o,D,1,deepseek,D,1
2,6,gpt4o,D,1,deepseek,D,1
2,7,gpt4o,D,1,deepseek,D,1
2,8,gpt4o,C,0,deepseek,D,5
2,9,gpt4o,C,0,deepseek,D,5
2,10,gpt4o,C,0,deepseek,D,5
2,11,gpt4o,C,0,deepseek,D,5
2,12,gpt4o,C,0,deepseek,D,5
2,13,gpt4o,C,0,deepseek,D,5
2,14,gpt4o,C,0,deepseek,D,5
2,15,gpt4o,C,0,deepseek,D,5
2,16,gpt4o,C,0,deepseek,D,5
2,17,gpt4o,C,0,deepseek,D,5
2,18,gpt4o,C,0,deepseek,D,5
2,19,gpt4o,C,0,deepseek,D,5
2,20,gpt4o,C,0,deepseek,D,5
3,1,gpt4o,C,3,deepseek,C,3
3,2,gpt4o,C,3,deepseek,C,3
3,3,gpt4o,C,3,deepseek,C,3
3,4,gpt4o,C,3,deepseek,C,3
3,5,gpt4o,C,3,deepseek,C,3
3,6,gpt4o,C,3,deepseek,C,3
3,7,gpt4o,C,3,deepseek,C,3
3,8,gpt4o,C,3,deepseek,C,3
3,9,gpt4o,C,3,deepseek,C,3
3,10,gpt4o,C,3,deepseek,C,3
3,11,gpt4o,C,3,deepseek,C,3
3,12,gpt4o,C,3,deepseek,C,3
3,13,gpt4o,C,3,deepseek,C,3
3,14,gpt4o,C,3,deepseek,C,3
3,15,gpt4o,C,3,deepseek,C,3
3,16,gpt4o,C,3,deepseek,C,3
3,17,gpt4o,C,3,deepseek,C,3
3,18,gpt4o,C,3,deepseek,C,3
3,19,gpt4o,C,3,deepseek,C,3
3,20,gpt4o,C,3,deepseek,C,3
1,1,gpt4o,C,3,claude3,C,3
1,2,gpt4o,C,3,claude3,C,3
1,3,gpt4o,C,3,claude3,C,3
1,4,gpt4o,C,3,claude3,C,3
1,5,gpt4o,C,3,claude3,C,3
1,6,gpt4o,C,3,claude3,C,3
1,7,gpt4o,C,3,claude3,C,3
1,8,gpt4o,C,3,claude3,C,3
1,9,gpt4o,C,3,claude3,C,3
1,10,gpt4o,C,3,claude3,C,3
1,11,gpt4o,C,3,claude3,C,3
1,12,gpt4o,C,3,claude3,C,3
1,13,gpt4o,C,3,claude3,C,3
1,14,gpt4o,C,3,claude3,C,3
1,15,gpt4o,C,3,claude3,C,3
1,16,gpt4o,C,3,claude3,C,3
1,17,gpt4o,C,3,claude3,C,3
1,18,gpt4o,C,3,claude3,C,3
1,19,gpt4o,C,3,claude3,C,3
1,20,gpt4o,C,3,claude3,C,3
2,1,gpt4o,C,3,claude3,C,3
2,2,gpt4o,C,3,claude3,C,3
2,3,gpt4o,C,3,claude3,C,3
2,4,gpt4o,C,3,claude3,C,3
2,5,gpt4o,C,3,claude3,C,3
2,6,gpt4o,C,3,claude3,C,3
2,7,gpt4o,C,3,claude3,C,3
2,8,gpt4o,C,3,claude3,C,3
2,9,gpt4o,C,3,claude3,C,3
2,10,gpt4o,C,3,claude3,C,3
2,11,gpt4o,C,3,claude3,C,3
2,12,gpt4o,C,3,claude3,C,3
2,13,gpt4o,C,3,claude3,C,3
2,14,gpt4o,D,5,claude3,C,0
2,15,gpt4o,D,5,claude3,C,0
2,16,gpt4o,D,5,claude3,C,0
2,17,gpt4o,D,5,claude3,C,0
2,18,gpt4o,C,0,claude3,D,5
2,19,gpt4o,C,3,claude3,C,3
2,20,gpt4o,C,3,claude3,C,3
3,1,gpt4o,C,3,claude3,C,3
3,2,gpt4o,C,3,claude3,C,3
3,3,gpt4o,C,3,claude3,C,3
3,4,gpt4o,C,3,claude3,C,3
3,5,gpt4o,C,3,claude3,C,3
3,6,gpt4o,C,3,claude3,C,3
3,7,gpt4o,C,3,claude3,C,3
3,8,gpt4o,C,3,claude3,C,3
3,9,gpt4o,C,3,claude3,C,3
3,10,gpt4o,C,3,claude3,C,3
3,11,gpt4o,C,3,claude3,C,3
3,12,gpt4o,C,3,claude3,C,3
3,13,gpt4o,C,3,claude3,C,3
3,14,gpt4o,C,3,claude3,C,3
3,15,gpt4o,C,3,claude3,C,3
3,16,gpt4o,C,3,claude3,C,3
3,17,gpt4o,C,3,claude3,C,3
3,18,gpt4o,C,3,claude3,C,3
3,19,gpt4o,C,3,claude3,C,3
3,20,gpt4o,C,3,claude3,C,3
1,1,grok,C,3,gemini,C,3
1,2,grok,C,3,gemini,C,3
1,3,grok,C,3,gemini,C,3
1,4,grok,C,3,gemini,C,3
1,5,grok,C,3,gemini,C,3
1,6,grok,C,3,gemini,C,3
1,7,grok,C,3,gemini,C,3
1,8,grok,C,3,gemini,C,3
1,9,grok,C,3,gemini,C,3
1,10,grok,C,3,gemini,C,3
1,11,grok,C,3,gemini,C,3
1,12,grok,C,3,gemini,C,3
1,13,grok,C,3,gemini,C,3
1,14,grok,C,3,gemini,C,3
1,15,grok,C,3,gemini,C,3
1,16,grok,C,3,gemini,C,3
1,17,grok,C,3,gemini,C,3
1,18,grok,C,3,gemini,C,3
1,19,grok,C,3,gemini,C,3
1,20,grok,C,3,gemini,C,3
2,1,grok,C,3,gemini,C,3
2,2,grok,C,3,gemini,C,3
2,3,grok,C,3,gemini,C,3
2,4,grok,C,3,gemini,C,3
2,5,grok,C,3,gemini,C,3
2,6,grok,C,3,gemini,C,3
2,7,grok,C,3,gemini,C,3
2,8,grok,C,3,gemini,C,3
2,9,grok,C,3,gemini,C,3
2,10,grok,C,3,gemini,C,3
2,11,grok,C,3,gemini,C,3
2,12,grok,C,3,gemini,C,3
2,13,grok,C,3,gemini,C,3
2,14,grok,C,3,gemini,C,3
2,15,grok,C,3,gemini,C,3
2,16,grok,C,3,gemini,C,3
2,17,grok,C,3,gemini,C,3
2,18,grok,C,3,gemini,C,3
2,19,grok,C,3,gemini,C,3
2,20,grok,C,3,gemini,C,3
3,1,grok,C,3,gemini,C,3
3,2,grok,C,3,gemini,C,3
3,3,grok,C,3,gemini,C,3
3,4,grok,C,3,gemini,C,3
3,5,grok,C,3,gemini,C,3
3,6,grok,C,3,gemini,C,3
3,7,grok,C,3,gemini,C,3
3,8,grok,C,3,gemini,C,3
3,9,grok,C,3,gemini,C,3
3,10,grok,C,3,gemini,C,3
3,11,grok,C,3,gemini,C,3
3,12,grok,C,3,gemini,C,3
3,13,grok,C,3,gemini,C,3
3,14,grok,C,3,gemini,C,3
3,15,grok,C,3,gemini,C,3
3,16,grok,C,3,gemini,C,3
3,17,grok,C,3,gemini,C,3
3,18,grok,C,3,gemini,C,3
3,19,grok,C,3,gemini,C,3
3,20,grok,C,3,gemini,C,3
1,1,grok,C,3,deepseek,C,3
1,2,grok,C,3,deepseek,C,3
1,3,grok,C,3,deepseek,C,3
1,4,grok,C,3,deepseek,C,3
1,5,grok,C,3,deepseek,C,3
1,6,grok,C,3,deepseek,C,3
1,7,grok,C,3,deepseek,C,3
1,8,grok,C,3,deepseek,C,3
1,9,grok,C,3,deepseek,C,3
1,10,grok,C,3,deepseek,C,3
1,11,grok,C,3,deepseek,C,3
1,12,grok,C,3,deepseek,C,3
1,13,grok,C,3,deepseek,C,3
1,14,grok,C,0,deepseek,D,5
1,15,grok,D,5,deepseek,C,0
1,16,grok,D,1,deepseek,D,1
1,17,grok,D,5,deepseek,C,0
1,18,grok,D,5,deepseek,C,0
1,19,grok,D,5,deepseek,C,0
1,20,grok,D,5,deepseek,C,0
2,1,grok,C,3,deepseek,C,3
2,2,grok,C,3,deepseek,C,3
2,3,grok,C,3,deepseek,C,3
2,4,grok,C,3,deepseek,C,3
2,5,grok,C,3,deepseek,C,3
2,6,grok,C,3,deepseek,C,3
2,7,grok,C,3,deepseek,C,3
2,8,grok,C,3,deepseek,C,3
2,9,grok,C,3,deepseek,C,3
2,10,grok,C,3,deepseek,C,3
2,11,grok,C,3,deepseek,C,3
2,12,grok,C,3,deepseek,C,3
2,13,grok,C,3,deepseek,C,3
2,14,grok,C,3,deepseek,C,3
2,15,grok,C,3,deepseek,C,3
2,16,grok,C,3,deepseek,C,3
2,17,grok,C,3,deepseek,C,3
2,18,grok,C,3,deepseek,C,3
2,19,grok,C,3,deepseek,C,3
2,20,grok,C,3,deepseek,C,3
3,1,grok,C,3,deepseek,C,3
3,2,grok,C,3,deepseek,C,3
3,3,grok,C,3,deepseek,C,3
3,4,grok,C,3,deepseek,C,3
3,5,grok,C,3,deepseek,C,3
3,6,grok,C,3,deepseek,C,3
3,7,grok,C,3,deepseek,C,3
3,8,grok,C,3,deepseek,C,3
3,9,grok,C,3,deepseek,C,3
3,10,grok,C,3,deepseek,C,3
3,11,grok,C,3,deepseek,C,3
3,12,grok,C,3,deepseek,C,3
3,13,grok,C,3,deepseek,C,3
3,14,grok,C,3,deepseek,C,3
3,15,grok,C,3,deepseek,C,3
3,16,grok,C,3,deepseek,C,3
3,17,grok,C,3,deepseek,C,3
3,18,grok,C,3,deepseek,C,3
3,19,grok,C,3,deepseek,C,3
3,20,grok,C,3,deepseek,C,3
1,1,grok,C,3,claude3,C,3
1,2,grok,C,3,claude3,C,3
1,3,grok,C,3,claude3,C,3
1,4,grok,C,3,claude3,C,3
1,5,grok,C,3,claude3,C,3
1,6,grok,C,3,claude3,C,3
1,7,grok,C,3,claude3,C,3
1,8,grok,C,3,claude3,C,3
1,9,grok,C,3,claude3,C,3
1,10,grok,C,3,claude3,C,3
1,11,grok,C,3,claude3,C,3
1,12,grok,C,3,claude3,C,3
1,13,grok,C,3,claude3,C,3
1,14,grok,C,3,claude3,C,3
1,15,grok,C,3,claude3,C,3
1,16,grok,C,3,claude3,C,3
1,17,grok,C,3,claude3,C,3
1,18,grok,C,3,claude3,C,3
1,19,grok,C,3,claude3,C,3
1,20,grok,C,3,claude3,C,3
2,1,grok,C,3,claude3,C,3
2,2,grok,C,3,claude3,C,3
2,3,grok,C,3,claude3,C,3
2,4,grok,C,3,claude3,C,3
2,5,grok,C,3,claude3,C,3
2,6,grok,C,3,claude3,C,3
2,7,grok,C,3,claude3,C,3
2,8,grok,C,3,claude3,C,3
2,9,grok,C,3,claude3,C,3
2,10,grok,C,3,claude3,C,3
2,11,grok,C,3,claude3,C,3
2,12,grok,C,3,claude3,C,3
2,13,grok,C,3,claude3,C,3
2,14,grok,C,3,claude3,C,3
2,15,grok,C,3,claude3,C,3
2,16,grok,C,3,claude3,C,3
2,17,grok,C,3,claude3,C,3
2,18,grok,C,3,claude3,C,3
2,19,grok,C,3,claude3,C,3
2,20,grok,C,3,claude3,C,3
3,1,grok,C,3,claude3,C,3
3,2,grok,C,3,claude3,C,3
3,3,grok,C,3,claude3,C,3
3,4,grok,C,3,claude3,C,3
3,5,grok,C,3,claude3,C,3
3,6,grok,C,3,claude3,C,3
3,7,grok,C,3,claude3,C,3
3,8,grok,C,3,claude3,C,3
3,9,grok,C,3,claude3,C,3
3,10,grok,C,3,claude3,C,3
3,11,grok,C,3,claude3,C,3
3,12,grok,C,3,claude3,C,3
3,13,grok,C,3,claude3,C,3
3,14,grok,C,3,claude3,C,3
3,15,grok,C,3,claude3,C,3
3,16,grok,C,3,claude3,C,3
3,17,grok,C,3,claude3,C,3
3,18,grok,C,3,claude3,C,3
3,19,grok,C,3,claude3,C,3
3,20,grok,C,3,claude3,C,3
1,1,gemini,C,3,deepseek,C,3
1,2,gemini,C,3,deepseek,C,3
1,3,gemini,C,3,deepseek,C,3
1,4,gemini,C,3,deepseek,C,3
1,5,gemini,C,3,deepseek,C,3
1,6,gemini,C,3,deepseek,C,3
1,7,gemini,C,3,deepseek,C,3
1,8,gemini,C,3,deepseek,C,3
1,9,gemini,C,3,deepseek,C,3
1,10,gemini,C,3,deepseek,C,3
1,11,gemini,C,3,deepseek,C,3
1,12,gemini,C,3,deepseek,C,3
1,13,gemini,C,3,deepseek,C,3
1,14,gemini,C,3,deepseek,C,3
1,15,gemini,C,3,deepseek,C,3
1,16,gemini,C,3,deepseek,C,3
1,17,gemini,C,3,deepseek,C,3
1,18,gemini,C,3,deepseek,C,3
1,19,gemini,C,3,deepseek,C,3
1,20,gemini,C,3,deepseek,C,3
2,1,gemini,C,3,deepseek,C,3
2,2,gemini,C,3,deepseek,C,3
2,3,gemini,C,3,deepseek,C,3
2,4,gemini,C,3,deepseek,C,3
2,5,gemini,C,3,deepseek,C,3
2,6,gemini,C,3,deepseek,C,3
2,7,gemini,C,3,deepseek,C,3
2,8,gemini,C,3,deepseek,C,3
2,9,gemini,C,3,deepseek,C,3
2,10,gemini,C,3,deepseek,C,3
2,11,gemini,C,3,deepseek,C,3
2,12,gemini,C,3,deepseek,C,3
2,13,gemini,C,3,deepseek,C,3
2,14,gemini,C,3,deepseek,C,3
2,15,gemini,C,3,deepseek,C,3
2,16,gemini,C,3,deepseek,C,3
2,17,gemini,C,3,deepseek,C,3
2,18,gemini,C,3,deepseek,C,3
2,19,gemini,C,3,deepseek,C,3
2,20,gemini,C,3,deepseek,C,3
3,1,gemini,C,3,deepseek,C,3
3,2,gemini,C,3,deepseek,C,3
3,3,gemini,C,3,deepseek,C,3
3,4,gemini,C,3,deepseek,C,3
3,5,gemini,C,3,deepseek,C,3
3,6,gemini,C,3,deepseek,C,3
3,7,gemini,C,3,deepseek,C,3
3,8,gemini,C,3,deepseek,C,3
3,9,gemini,C,3,deepseek,C,3
3,10,gemini,C,3,deepseek,C,3
3,11,gemini,C,3,deepseek,C,3
3,12,gemini,C,3,deepseek,C,3
3,13,gemini,C,3,deepseek,C,3
3,14,gemini,C,3,deepseek,C,3
3,15,gemini,C,3,deepseek,C,3
3,16,gemini,C,3,deepseek,C,3
3,17,gemini,C,3,deepseek,C,3
3,18,gemini,C,3,deepseek,C,3
3,19,gemini,C,3,deepseek,C,3
3,20,gemini,C,3,deepseek,C,3
1,1,gemini,C,3,claude3,C,3
1,2,gemini,C,3,claude3,C,3
1,3,gemini,C,3,claude3,C,3
1,4,gemini,C,3,claude3,C,3
1,5,gemini,C,3,claude3,C,3
1,6,gemini,C,3,claude3,C,3
1,7,gemini,C,3,claude3,C,3
1,8,gemini,C,3,claude3,C,3
1,9,gemini,C,3,claude3,C,3
1,10,gemini,C,3,claude3,C,3
1,11,gemini,C,3,claude3,C,3
1,12,gemini,C,3,claude3,C,3
1,13,gemini,C,3,claude3,C,3
1,14,gemini,C,3,claude3,C,3
1,15,gemini,C,3,claude3,C,3
1,16,gemini,C,3,claude3,C,3
1,17,gemini,C,3,claude3,C,3
1,18,gemini,C,3,claude3,C,3
1,19,gemini,C,3,claude3,C,3
1,20,gemini,C,3,claude3,C,3
2,1,gemini,C,3,claude3,C,3
2,2,gemini,C,3,claude3,C,3
2,3,gemini,C,3,claude3,C,3
2,4,gemini,C,3,claude3,C,3
2,5,gemini,C,3,claude3,C,3
2,6,gemini,C,3,claude3,C,3
2,7,gemini,C,3,claude3,C,3
2,8,gemini,C,3,claude3,C,3
2,9,gemini,C,3,claude3,C,3
2,10,gemini,C,3,claude3,C,3
2,11,gemini,C,3,claude3,C,3
2,12,gemini,C,3,claude3,C,3
2,13,gemini,C,3,claude3,C,3
2,14,gemini,C,3,claude3,C,3
2,15,gemini,C,3,claude3,C,3
2,16,gemini,C,3,claude3,C,3
2,17,gemini,C,3,claude3,C,3
2,18,gemini,C,3,claude3,C,3
2,19,gemini,C,3,claude3,C,3
2,20,gemini,C,3,claude3,C,3
3,1,gemini,C,3,claude3,C,3
3,2,gemini,C,3,claude3,C,3
3,3,gemini,C,3,claude3,C,3
3,4,gemini,C,3,claude3,C,3
3,5,gemini,C,3,claude3,C,3
3,6,gemini,C,3,claude3,C,3
3,7,gemini,C,3,claude3,C,3
3,8,gemini,C,3,claude3,C,3
3,9,gemini,C,3,claude3,C,3
3,10,gemini,C,3,claude3,C,3
3,11,gemini,C,3,claude3,C,3
3,12,gemini,C,3,claude3,C,3
3,13,gemini,C,3,claude3,C,3
3,14,gemini,C,3,claude3,C,3
3,15,gemini,C,3,claude3,C,3
3,16,gemini,C,3,claude3,C,3
3,17,gemini,C,3,claude3,C,3
3,18,gemini,C,3,claude3,C,3
3,19,gemini,C,3,claude3,C,3
3,20,gemini,C,3,claude3,C,3
1,1,deepseek,C,3,claude3,C,3
1,2,deepseek,C,3,claude3,C,3
1,3,deepseek,C,3,claude3,C,3
1,4,deepseek,C,3,claude3,C,3
1,5,deepseek,C,3,claude3,C,3
1,6,deepseek,C,3,claude3,C,3
1,7,deepseek,C,3,claude3,C,3
1,8,deepseek,C,3,claude3,C,3
1,9,deepseek,C,3,claude3,C,3
1,10,deepseek,C,3,claude3,C,3
1,11,deepseek,C,3,claude3,C,3
1,12,deepseek,C,3,claude3,C,3
1,13,deepseek,C,3,claude3,C,3
1,14,deepseek,C,3,claude3,C,3
1,15,deepseek,C,3,claude3,C,3
1,16,deepseek,C,3,claude3,C,3
1,17,deepseek,C,3,claude3,C,3
1,18,deepseek,C,3,claude3,C,3
1,19,deepseek,C,3,claude3,C,3
1,20,deepseek,C,3,claude3,C,3
2,1,deepseek,C,3,claude3,C,3
2,2,deepseek,C,3,claude3,C,3
2,3,deepseek,C,3,claude3,C,3
2,4,deepseek,C,3,claude3,C,3
2,5,deepseek,C,3,claude3,C,3
2,6,deepseek,C,3,claude3,C,3
2,7,deepseek,C,3,claude3,C,3
2,8,deepseek,C,3,claude3,C,3
2,9,deepseek,C,3,claude3,C,3
2,10,deepseek,C,3,claude3,C,3
2,11,deepseek,C,3,claude3,C,3
2,12,deepseek,C,3,claude3,C,3
2,13,deepseek,D,5,claude3,C,0
2,14,deepseek,C,3,claude3,C,3
2,15,deepseek,C,3,claude3,C,3
2,16,deepseek,C,3,claude3,C,3
2,17,deepseek,C,3,claude3,C,3
2,18,deepseek,C,3,claude3,C,3
2,19,deepseek,C,3,claude3,C,3
2,20,deepseek,C,0,claude3,D,5
3,1,deepseek,C,3,claude3,C,3
3,2,deepseek,C,3,claude3,C,3
3,3,deepseek,C,3,claude3,C,3
3,4,deepseek,C,3,claude3,C,3
3,5,deepseek,C,3,claude3,C,3
3,6,deepseek,C,3,claude3,C,3
3,7,deepseek,C,3,claude3,C,3
3,8,deepseek,C,3,claude3,C,3
3,9,deepseek,C,3,claude3,C,3
3,10,deepseek,C,3,claude3,C,3
3,11,deepseek,C,3,claude3,C,3
3,12,deepseek,C,3,claude3,C,3
3,13,deepseek,C,3,claude3,C,3
3,14,deepseek,C,3,claude3,C,3
3,15,deepseek,C,3,claude3,C,3
3,16,deepseek,C,3,claude3,C,3
3,17,deepseek,C,3,claude3,C,3
3,18,deepseek,C,3,claude3,C,3
3,19,deepseek,C,3,claude3,C,3
3,20,deepseek,C,3,claude3,C,3
