p1,p2,repetition,p1_total,p2_total
DeepSeek_R1-LLM,grok3-LLM,9,60,60
DeepSeek_R1-LLM,grok3-LLM,10,60,60
Gemini_2.5Pro-LLM,DeepSeek_R1-LLM,1,59,59
Gemini_2.5Pro-LLM,DeepSeek_R1-LLM,2,59,54
Gemini_2.5Pro-LLM,DeepSeek_R1-LLM,3,61,56
Gemini_2.5Pro-LLM,DeepSeek_R1-LLM,4,60,60
Gemini_2.5Pro-LLM,DeepSeek_R1-LLM,5,60,60
Gemini_2.5Pro-LLM,DeepSeek_R1-LLM,6,60,60
Gemini_2.5Pro-LLM,DeepSeek_R1-LLM,7,61,56
Gemini_2.5Pro-LLM,DeepSeek_R1-LLM,8,52,52
Gemini_2.5Pro-LLM,DeepSeek_R1-LLM,9,62,57
Gemini_2.5Pro-LLM,DeepSeek_R1-LLM,10,61,56
Gemini_2.5Pro-LLM,claude3-LLM,1,54,54
Gemini_2.5Pro-LLM,claude3-LLM,2,56,56
Gemini_2.5Pro-LLM,claude3-LLM,3,57,57
Gemini_2.5Pro-LLM,claude3-LLM,4,55,55
Gemini_2.5Pro-LLM,claude3-LLM,5,52,57
Gemini_2.5Pro-LLM,claude3-LLM,6,54,54
Gemini_2.5Pro-LLM,claude3-LLM,7,51,56
Gemini_2.5Pro-LLM,claude3-LLM,8,55,55
Gemini_2.5Pro-LLM,claude3-LLM,9,56,56
Gemini_2.5Pro-LLM,claude3-LLM,10,53,58
Gemini_2.5Pro-LLM,claude3_opus-LLM,1,21,46
Gemini_2.5Pro-LLM,claude3_opus-LLM,2,20,50
Gemini_2.5Pro-LLM,claude3_opus-LLM,3,26,46
Gemini_2.5Pro-LLM,claude3_opus-LLM,4,26,46
Gemini_2.5Pro-LLM,claude3_opus-LLM,5,23,58
Gemini_2.5Pro-LLM,claude3_opus-LLM,6,32,52
Gemini_2.5Pro-LLM,claude3_opus-LLM,7,25,45
Gemini_2.5Pro-LLM,claude3_opus-LLM,8,27,42
Gemini_2.5Pro-LLM,claude3_opus-LLM,9,22,42
Gemini_2.5Pro-LLM,claude3_opus-LLM,10,26,46
Gemini_2.5Pro-LLM,deepseek-LLM,1,56,51
Gemini_2.5Pro-LLM,deepseek-LLM,2,47,52
Gemini_2.5Pro-LLM,deepseek-LLM,3,49,59
Gemini_2.5Pro-LLM,deepseek-LLM,4,54,49
Gemini_2.5Pro-LLM,deepseek-LLM,5,51,56
Gemini_2.5Pro-LLM,deepseek-LLM,6,49,54
Gemini_2.5Pro-LLM,deepseek-LLM,7,52,52
Gemini_2.5Pro-LLM,deepseek-LLM,8,51,56
Gemini_2.5Pro-LLM,deepseek-LLM,9,34,39
Gemini_2.5Pro-LLM,deepseek-LLM,10,49,54
Gemini_2.5Pro-LLM,gemini-LLM,1,57,57
Gemini_2.5Pro-LLM,gemini-LLM,2,56,51
Gemini_2.5Pro-LLM,gemini-LLM,3,60,60
Gemini_2.5Pro-LLM,gemini-LLM,4,59,59
Gemini_2.5Pro-LLM,gemini-LLM,5,61,56
Gemini_2.5Pro-LLM,gemini-LLM,6,55,50
Gemini_2.5Pro-LLM,gemini-LLM,7,53,48
Gemini_2.5Pro-LLM,gemini-LLM,8,58,58
Gemini_2.5Pro-LLM,gemini-LLM,9,51,51
Gemini_2.5Pro-LLM,gemini-LLM,10,60,60
Gemini_2.5Pro-LLM,gpt4o-LLM,1,58,53
Gemini_2.5Pro-LLM,gpt4o-LLM,2,60,60
Gemini_2.5Pro-LLM,gpt4o-LLM,3,60,60
Gemini_2.5Pro-LLM,gpt4o-LLM,4,56,56
Gemini_2.5Pro-LLM,gpt4o-LLM,5,59,59
Gemini_2.5Pro-LLM,gpt4o-LLM,6,60,60
Gemini_2.5Pro-LLM,gpt4o-LLM,7,45,40
Gemini_2.5Pro-LLM,gpt4o-LLM,8,60,60
Gemini_2.5Pro-LLM,gpt4o-LLM,9,56,51
Gemini_2.5Pro-LLM,gpt4o-LLM,10,57,57
Gemini_2.5Pro-LLM,grok3-LLM,1,51,56
Gemini_2.5Pro-LLM,grok3-LLM,2,59,59
Gemini_2.5Pro-LLM,grok3-LLM,3,60,60
Gemini_2.5Pro-LLM,grok3-LLM,4,22,37
Gemini_2.5Pro-LLM,grok3-LLM,5,60,60
Gemini_2.5Pro-LLM,grok3-LLM,6,60,60
Gemini_2.5Pro-LLM,grok3-LLM,7,36,51
Gemini_2.5Pro-LLM,grok3-LLM,8,53,53
Gemini_2.5Pro-LLM,grok3-LLM,9,60,60
Gemini_2.5Pro-LLM,grok3-LLM,10,28,43
Grim Trigger,DeepSeek_R1-LLM,1,60,60
Grim Trigger,DeepSeek_R1-LLM,2,60,60
Grim Trigger,DeepSeek_R1-LLM,3,60,60
Grim Trigger,DeepSeek_R1-LLM,4,60,60
Grim Trigger,DeepSeek_R1-LLM,5,60,60
Grim Trigger,DeepSeek_R1-LLM,6,60,60
Grim Trigger,DeepSeek_R1-LLM,7,60,60
Grim Trigger,DeepSeek_R1-LLM,8,60,60
Grim Trigger,DeepSeek_R1-LLM,9,60,60
Grim Trigger,DeepSeek_R1-LLM,10,60,60
Grim Trigger,Gemini_2.5Pro-LLM,1,60,60
Grim Trigger,Gemini_2.5Pro-LLM,2,60,60
Grim Trigger,Gemini_2.5Pro-LLM,3,35,25
Grim Trigger,Gemini_2.5Pro-LLM,4,60,60
Grim Trigger,Gemini_2.5Pro-LLM,5,53,43
Grim Trigger,Gemini_2.5Pro-LLM,6,60,60
Grim Trigger,Gemini_2.5Pro-LLM,7,49,34
Grim Trigger,Gemini_2.5Pro-LLM,8,60,60
Grim Trigger,Gemini_2.5Pro-LLM,9,59,59
Grim Trigger,Gemini_2.5Pro-LLM,10,60,60
Grim Trigger,claude3-LLM,1,39,34
Grim Trigger,claude3-LLM,2,41,36
Grim Trigger,claude3-LLM,3,43,38
Grim Trigger,claude3-LLM,4,45,40
Grim Trigger,claude3-LLM,5,37,32
Grim Trigger,claude3-LLM,6,41,36
Grim Trigger,claude3-LLM,7,37,32
Grim Trigger,claude3-LLM,8,39,34
Grim Trigger,claude3-LLM,9,37,32
Grim Trigger,claude3-LLM,10,37,32
Grim Trigger,claude3_opus-LLM,1,23,23
Grim Trigger,claude3_opus-LLM,2,23,23
Grim Trigger,claude3_opus-LLM,3,23,23
Grim Trigger,claude3_opus-LLM,4,23,23
Grim Trigger,claude3_opus-LLM,5,29,34
Grim Trigger,claude3_opus-LLM,6,23,23
Grim Trigger,claude3_opus-LLM,7,29,34
Grim Trigger,claude3_opus-LLM,8,23,23
Grim Trigger,claude3_opus-LLM,9,29,34
Grim Trigger,claude3_opus-LLM,10,29,34
Grim Trigger,deepseek-LLM,1,33,33
Grim Trigger,deepseek-LLM,2,60,60
Grim Trigger,deepseek-LLM,3,47,47
Grim Trigger,deepseek-LLM,4,60,60
Grim Trigger,deepseek-LLM,5,35,35
Grim Trigger,deepseek-LLM,6,27,27
Grim Trigger,deepseek-LLM,7,60,60
Grim Trigger,deepseek-LLM,8,60,60
Grim Trigger,deepseek-LLM,9,29,29
Grim Trigger,deepseek-LLM,10,27,27
Grim Trigger,gemini-LLM,1,60,60
Grim Trigger,gemini-LLM,2,60,60
Grim Trigger,gemini-LLM,3,60,60
Grim Trigger,gemini-LLM,4,60,60
Grim Trigger,gemini-LLM,5,60,60
Grim Trigger,gemini-LLM,6,60,60
Grim Trigger,gemini-LLM,7,60,60
Grim Trigger,gemini-LLM,8,60,60
Grim Trigger,gemini-LLM,9,60,60
Grim Trigger,gemini-LLM,10,60,60
Grim Trigger,gpt4o-LLM,1,60,60
Grim Trigger,gpt4o-LLM,2,60,60
Grim Trigger,gpt4o-LLM,3,60,60
Grim Trigger,gpt4o-LLM,4,60,60
Grim Trigger,gpt4o-LLM,5,60,60
Grim Trigger,gpt4o-LLM,6,60,60
Grim Trigger,gpt4o-LLM,7,60,60
Grim Trigger,gpt4o-LLM,8,60,60
Grim Trigger,gpt4o-LLM,9,60,60
Grim Trigger,gpt4o-LLM,10,60,60
Grim Trigger,grok3-LLM,1,60,60
Grim Trigger,grok3-LLM,2,60,60
Grim Trigger,grok3-LLM,3,60,60
Grim Trigger,grok3-LLM,4,60,60
Grim Trigger,grok3-LLM,5,60,60
Grim Trigger,grok3-LLM,6,60,60
Grim Trigger,grok3-LLM,7,60,60
Grim Trigger,grok3-LLM,8,60,60
Grim Trigger,grok3-LLM,9,60,60
Grim Trigger,grok3-LLM,10,60,60
Grim Trigger,grok3_Think-LLM,1,60,60
Grim Trigger,grok3_Think-LLM,2,60,60
Grim Trigger,grok3_Think-LLM,3,60,60
Grim Trigger,grok3_Think-LLM,4,60,60
Grim Trigger,grok3_Think-LLM,5,60,60
Grim Trigger,grok3_Think-LLM,6,60,60
Grim Trigger,grok3_Think-LLM,7,60,60
Grim Trigger,grok3_Think-LLM,8,60,60
Grim Trigger,grok3_Think-LLM,9,60,60
Grim Trigger,grok3_Think-LLM,10,60,60
Grim Trigger,o3-LLM,1,60,60
Grim Trigger,o3-LLM,2,60,60
Grim Trigger,o3-LLM,3,60,60
Grim Trigger,o3-LLM,4,60,60
Grim Trigger,o3-LLM,5,60,60
Grim Trigger,o3-LLM,6,60,60
Grim Trigger,o3-LLM,7,60,60
Grim Trigger,o3-LLM,8,60,60
Grim Trigger,o3-LLM,9,60,60
Grim Trigger,o3-LLM,10,60,60
Tit‑for‑Tat,DeepSeek_R1-LLM,1,60,60
Tit‑for‑Tat,DeepSeek_R1-LLM,2,60,60
Tit‑for‑Tat,DeepSeek_R1-LLM,3,60,60
Tit‑for‑Tat,DeepSeek_R1-LLM,4,60,60
Tit‑for‑Tat,DeepSeek_R1-LLM,5,60,60
Tit‑for‑Tat,DeepSeek_R1-LLM,6,60,60
Tit‑for‑Tat,DeepSeek_R1-LLM,7,60,60
Tit‑for‑Tat,DeepSeek_R1-LLM,8,60,60
Tit‑for‑Tat,DeepSeek_R1-LLM,9,60,60
Tit‑for‑Tat,DeepSeek_R1-LLM,10,60,60
Tit‑for‑Tat,Gemini_2.5Pro-LLM,1,50,55
Tit‑for‑Tat,Gemini_2.5Pro-LLM,2,48,53
Tit‑for‑Tat,Gemini_2.5Pro-LLM,3,52,52
Tit‑for‑Tat,Gemini_2.5Pro-LLM,4,53,58
Tit‑for‑Tat,Gemini_2.5Pro-LLM,5,57,57
Tit‑for‑Tat,Gemini_2.5Pro-LLM,6,53,53
Tit‑for‑Tat,Gemini_2.5Pro-LLM,7,59,59
Tit‑for‑Tat,Gemini_2.5Pro-LLM,8,60,60
Tit‑for‑Tat,Gemini_2.5Pro-LLM,9,60,60
Tit‑for‑Tat,Gemini_2.5Pro-LLM,10,60,60
Tit‑for‑Tat,Grim Trigger,1,60,60
Tit‑for‑Tat,Grim Trigger,2,60,60
Tit‑for‑Tat,Grim Trigger,3,60,60
Tit‑for‑Tat,Grim Trigger,4,60,60
Tit‑for‑Tat,Grim Trigger,5,60,60
Tit‑for‑Tat,Grim Trigger,6,60,60
Tit‑for‑Tat,Grim Trigger,7,60,60
Tit‑for‑Tat,Grim Trigger,8,60,60
Tit‑for‑Tat,Grim Trigger,9,60,60
Tit‑for‑Tat,Grim Trigger,10,60,60
Tit‑for‑Tat,claude3-LLM,1,55,55
Tit‑for‑Tat,claude3-LLM,2,56,56
Tit‑for‑Tat,claude3-LLM,3,52,57
Tit‑for‑Tat,claude3-LLM,4,51,56
Tit‑for‑Tat,claude3-LLM,5,55,55
Tit‑for‑Tat,claude3-LLM,6,55,55
Tit‑for‑Tat,claude3-LLM,7,53,58
Tit‑for‑Tat,claude3-LLM,8,54,54
Tit‑for‑Tat,claude3-LLM,9,55,55
Tit‑for‑Tat,claude3-LLM,10,56,56
Tit‑for‑Tat,claude3_opus-LLM,1,29,34
Tit‑for‑Tat,claude3_opus-LLM,2,29,34
Tit‑for‑Tat,claude3_opus-LLM,3,25,30
Tit‑for‑Tat,claude3_opus-LLM,4,29,34
Tit‑for‑Tat,claude3_opus-LLM,5,29,34
Tit‑for‑Tat,claude3_opus-LLM,6,25,30
Tit‑for‑Tat,claude3_opus-LLM,7,29,34
Tit‑for‑Tat,claude3_opus-LLM,8,29,34
Tit‑for‑Tat,claude3_opus-LLM,9,29,34
Tit‑for‑Tat,claude3_opus-LLM,10,25,30
Tit‑for‑Tat,deepseek-LLM,1,55,55
Tit‑for‑Tat,deepseek-LLM,2,50,55
Tit‑for‑Tat,deepseek-LLM,3,53,53
Tit‑for‑Tat,deepseek-LLM,4,52,57
Tit‑for‑Tat,deepseek-LLM,5,26,31
Tit‑for‑Tat,deepseek-LLM,6,51,51
Tit‑for‑Tat,deepseek-LLM,7,52,52
Tit‑for‑Tat,deepseek-LLM,8,44,49
Tit‑for‑Tat,deepseek-LLM,9,54,59
Tit‑for‑Tat,deepseek-LLM,10,60,60
Tit‑for‑Tat,gemini-LLM,1,60,60
Tit‑for‑Tat,gemini-LLM,2,60,60
Tit‑for‑Tat,gemini-LLM,3,60,60
Tit‑for‑Tat,gemini-LLM,4,60,60
Tit‑for‑Tat,gemini-LLM,5,60,60
Tit‑for‑Tat,gemini-LLM,6,60,60
Tit‑for‑Tat,gemini-LLM,7,60,60
Tit‑for‑Tat,gemini-LLM,8,60,60
Tit‑for‑Tat,gemini-LLM,9,60,60
Tit‑for‑Tat,gemini-LLM,10,60,60
Tit‑for‑Tat,gpt4o-LLM,1,60,60
Tit‑for‑Tat,gpt4o-LLM,2,60,60
Tit‑for‑Tat,gpt4o-LLM,3,60,60
Tit‑for‑Tat,gpt4o-LLM,4,60,60
Tit‑for‑Tat,gpt4o-LLM,5,60,60
Tit‑for‑Tat,gpt4o-LLM,6,60,60
Tit‑for‑Tat,gpt4o-LLM,7,60,60
Tit‑for‑Tat,gpt4o-LLM,8,60,60
Tit‑for‑Tat,gpt4o-LLM,9,60,60
Tit‑for‑Tat,gpt4o-LLM,10,60,60
Tit‑for‑Tat,grok3-LLM,1,60,60
Tit‑for‑Tat,grok3-LLM,2,60,60
Tit‑for‑Tat,grok3-LLM,3,60,60
Tit‑for‑Tat,grok3-LLM,4,60,60
Tit‑for‑Tat,grok3-LLM,5,60,60
Tit‑for‑Tat,grok3-LLM,6,60,60
Tit‑for‑Tat,grok3-LLM,7,60,60
Tit‑for‑Tat,grok3-LLM,8,60,60
Tit‑for‑Tat,grok3-LLM,9,60,60
Tit‑for‑Tat,grok3-LLM,10,60,60
Tit‑for‑Tat,grok3_Think-LLM,1,60,60
Tit‑for‑Tat,grok3_Think-LLM,2,60,60
Tit‑for‑Tat,grok3_Think-LLM,3,60,60
Tit‑for‑Tat,grok3_Think-LLM,4,60,60
Tit‑for‑Tat,grok3_Think-LLM,5,60,60
Tit‑for‑Tat,grok3_Think-LLM,6,60,60
Tit‑for‑Tat,grok3_Think-LLM,7,60,60
Tit‑for‑Tat,grok3_Think-LLM,8,60,60
Tit‑for‑Tat,grok3_Think-LLM,9,60,60
Tit‑for‑Tat,grok3_Think-LLM,10,60,60
Tit‑for‑Tat,o3-LLM,1,60,60
Tit‑for‑Tat,o3-LLM,2,60,60
Tit‑for‑Tat,o3-LLM,3,60,60
Tit‑for‑Tat,o3-LLM,4,60,60
Tit‑for‑Tat,o3-LLM,5,60,60
Tit‑for‑Tat,o3-LLM,6,60,60
Tit‑for‑Tat,o3-LLM,7,60,60
Tit‑for‑Tat,o3-LLM,8,60,60
Tit‑for‑Tat,o3-LLM,9,60,60
Tit‑for‑Tat,o3-LLM,10,60,60
claude3-LLM,claude3_opus-LLM,1,27,32
claude3-LLM,claude3_opus-LLM,2,27,32
claude3-LLM,claude3_opus-LLM,3,27,32
claude3-LLM,claude3_opus-LLM,4,29,34
claude3-LLM,claude3_opus-LLM,5,27,32
claude3-LLM,claude3_opus-LLM,6,29,34
claude3-LLM,claude3_opus-LLM,7,27,32
claude3-LLM,claude3_opus-LLM,8,29,34
claude3-LLM,claude3_opus-LLM,9,27,32
claude3-LLM,claude3_opus-LLM,10,27,32
claude3-LLM,deepseek-LLM,1,51,51
claude3-LLM,deepseek-LLM,2,42,47
claude3-LLM,deepseek-LLM,3,42,47
claude3-LLM,deepseek-LLM,4,39,44
claude3-LLM,deepseek-LLM,5,46,46
claude3-LLM,deepseek-LLM,6,56,51
claude3-LLM,deepseek-LLM,7,55,55
claude3-LLM,deepseek-LLM,8,44,44
claude3-LLM,deepseek-LLM,9,40,40
claude3-LLM,deepseek-LLM,10,38,43
claude3-LLM,gemini-LLM,1,57,52
claude3-LLM,gemini-LLM,2,55,55
claude3-LLM,gemini-LLM,3,58,53
claude3-LLM,gemini-LLM,4,60,55
claude3-LLM,gemini-LLM,5,54,54
claude3-LLM,gemini-LLM,6,55,55
claude3-LLM,gemini-LLM,7,59,54
claude3-LLM,gemini-LLM,8,58,53
claude3-LLM,gemini-LLM,9,54,54
claude3-LLM,gemini-LLM,10,54,54
claude3-LLM,gpt4o-LLM,1,55,55
claude3-LLM,gpt4o-LLM,2,55,55
claude3-LLM,gpt4o-LLM,3,55,55
claude3-LLM,gpt4o-LLM,4,58,53
claude3-LLM,gpt4o-LLM,5,55,55
claude3-LLM,gpt4o-LLM,6,56,51
claude3-LLM,gpt4o-LLM,7,57,57
claude3-LLM,gpt4o-LLM,8,56,51
claude3-LLM,gpt4o-LLM,9,55,55
claude3-LLM,gpt4o-LLM,10,53,53
claude3-LLM,grok3-LLM,1,39,44
claude3-LLM,grok3-LLM,2,34,39
claude3-LLM,grok3-LLM,3,40,45
claude3-LLM,grok3-LLM,4,35,40
claude3-LLM,grok3-LLM,5,32,37
claude3-LLM,grok3-LLM,6,35,40
claude3-LLM,grok3-LLM,7,32,37
claude3-LLM,grok3-LLM,8,35,40
claude3-LLM,grok3-LLM,9,35,40
claude3-LLM,grok3-LLM,10,37,42
claude3_opus-LLM,grok3-LLM,1,34,29
claude3_opus-LLM,grok3-LLM,2,23,23
claude3_opus-LLM,grok3-LLM,3,34,29
claude3_opus-LLM,grok3-LLM,4,34,29
claude3_opus-LLM,grok3-LLM,5,23,23
claude3_opus-LLM,grok3-LLM,6,23,23
claude3_opus-LLM,grok3-LLM,7,34,29
claude3_opus-LLM,grok3-LLM,8,23,23
claude3_opus-LLM,grok3-LLM,9,23,23
claude3_opus-LLM,grok3-LLM,10,34,29
deepseek-LLM,claude3_opus-LLM,1,25,30
deepseek-LLM,claude3_opus-LLM,2,28,28
deepseek-LLM,claude3_opus-LLM,3,29,34
deepseek-LLM,claude3_opus-LLM,4,29,34
deepseek-LLM,claude3_opus-LLM,5,29,34
deepseek-LLM,claude3_opus-LLM,6,29,34
deepseek-LLM,claude3_opus-LLM,7,25,30
deepseek-LLM,claude3_opus-LLM,8,29,34
deepseek-LLM,claude3_opus-LLM,9,28,28
deepseek-LLM,claude3_opus-LLM,10,29,34
deepseek-LLM,grok3-LLM,1,51,51
deepseek-LLM,grok3-LLM,2,28,23
deepseek-LLM,grok3-LLM,3,33,33
deepseek-LLM,grok3-LLM,4,41,41
deepseek-LLM,grok3-LLM,5,35,35
deepseek-LLM,grok3-LLM,6,60,60
deepseek-LLM,grok3-LLM,7,27,27
deepseek-LLM,grok3-LLM,8,60,60
deepseek-LLM,grok3-LLM,9,25,25
deepseek-LLM,grok3-LLM,10,27,27
gemini-LLM,claude3_opus-LLM,1,29,34
gemini-LLM,claude3_opus-LLM,2,29,34
gemini-LLM,claude3_opus-LLM,3,25,30
gemini-LLM,claude3_opus-LLM,4,25,30
gemini-LLM,claude3_opus-LLM,5,29,34
gemini-LLM,claude3_opus-LLM,6,29,34
gemini-LLM,claude3_opus-LLM,7,25,30
gemini-LLM,claude3_opus-LLM,8,29,34
gemini-LLM,claude3_opus-LLM,9,25,30
gemini-LLM,claude3_opus-LLM,10,29,34
gemini-LLM,deepseek-LLM,1,57,57
gemini-LLM,deepseek-LLM,2,56,61
gemini-LLM,deepseek-LLM,3,60,60
gemini-LLM,deepseek-LLM,4,34,39
gemini-LLM,deepseek-LLM,5,44,49
gemini-LLM,deepseek-LLM,6,37,42
gemini-LLM,deepseek-LLM,7,38,43
gemini-LLM,deepseek-LLM,8,35,40
gemini-LLM,deepseek-LLM,9,29,34
gemini-LLM,deepseek-LLM,10,21,26
gemini-LLM,gpt4o-LLM,1,60,60
gemini-LLM,gpt4o-LLM,2,60,60
gemini-LLM,gpt4o-LLM,3,60,60
gemini-LLM,gpt4o-LLM,4,60,60
gemini-LLM,gpt4o-LLM,5,60,60
gemini-LLM,gpt4o-LLM,6,60,60
gemini-LLM,gpt4o-LLM,7,60,60
gemini-LLM,gpt4o-LLM,8,60,60
gemini-LLM,gpt4o-LLM,9,60,60
gemini-LLM,gpt4o-LLM,10,60,60
gemini-LLM,grok3-LLM,1,60,60
gemini-LLM,grok3-LLM,2,60,60
gemini-LLM,grok3-LLM,3,60,60
gemini-LLM,grok3-LLM,4,60,60
gemini-LLM,grok3-LLM,5,60,60
gemini-LLM,grok3-LLM,6,60,60
gemini-LLM,grok3-LLM,7,60,60
gemini-LLM,grok3-LLM,8,60,60
gemini-LLM,grok3-LLM,9,60,60
gemini-LLM,grok3-LLM,10,60,60
gpt4o-LLM,claude3_opus-LLM,1,25,30
gpt4o-LLM,claude3_opus-LLM,2,29,34
gpt4o-LLM,claude3_opus-LLM,3,29,34
gpt4o-LLM,claude3_opus-LLM,4,29,34
gpt4o-LLM,claude3_opus-LLM,5,29,34
gpt4o-LLM,claude3_opus-LLM,6,29,34
gpt4o-LLM,claude3_opus-LLM,7,25,30
gpt4o-LLM,claude3_opus-LLM,8,25,30
gpt4o-LLM,claude3_opus-LLM,9,25,30
gpt4o-LLM,claude3_opus-LLM,10,25,30
gpt4o-LLM,deepseek-LLM,1,50,55
gpt4o-LLM,deepseek-LLM,2,45,50
gpt4o-LLM,deepseek-LLM,3,55,55
gpt4o-LLM,deepseek-LLM,4,47,52
gpt4o-LLM,deepseek-LLM,5,36,41
gpt4o-LLM,deepseek-LLM,6,56,56
gpt4o-LLM,deepseek-LLM,7,44,49
gpt4o-LLM,deepseek-LLM,8,38,43
gpt4o-LLM,deepseek-LLM,9,60,60
gpt4o-LLM,deepseek-LLM,10,52,57
gpt4o-LLM,grok3-LLM,1,60,60
gpt4o-LLM,grok3-LLM,2,60,60
gpt4o-LLM,grok3-LLM,3,60,60
gpt4o-LLM,grok3-LLM,4,60,60
gpt4o-LLM,grok3-LLM,5,60,60
gpt4o-LLM,grok3-LLM,6,60,60
gpt4o-LLM,grok3-LLM,7,60,60
gpt4o-LLM,grok3-LLM,8,60,60
gpt4o-LLM,grok3-LLM,9,60,60
gpt4o-LLM,grok3-LLM,10,60,60
grok3_Think-LLM,DeepSeek_R1-LLM,1,60,60
grok3_Think-LLM,DeepSeek_R1-LLM,2,60,60
grok3_Think-LLM,DeepSeek_R1-LLM,3,60,60
grok3_Think-LLM,DeepSeek_R1-LLM,4,60,60
grok3_Think-LLM,DeepSeek_R1-LLM,5,60,60
grok3_Think-LLM,DeepSeek_R1-LLM,6,60,60
grok3_Think-LLM,DeepSeek_R1-LLM,7,60,60
grok3_Think-LLM,DeepSeek_R1-LLM,8,60,60
grok3_Think-LLM,DeepSeek_R1-LLM,9,60,60
grok3_Think-LLM,DeepSeek_R1-LLM,10,60,60
grok3_Think-LLM,Gemini_2.5Pro-LLM,1,56,61
grok3_Think-LLM,Gemini_2.5Pro-LLM,2,48,58
grok3_Think-LLM,Gemini_2.5Pro-LLM,3,60,60
grok3_Think-LLM,Gemini_2.5Pro-LLM,4,55,60
grok3_Think-LLM,Gemini_2.5Pro-LLM,5,57,62
grok3_Think-LLM,Gemini_2.5Pro-LLM,6,60,60
grok3_Think-LLM,Gemini_2.5Pro-LLM,7,59,59
grok3_Think-LLM,Gemini_2.5Pro-LLM,8,60,60
grok3_Think-LLM,Gemini_2.5Pro-LLM,9,60,60
grok3_Think-LLM,Gemini_2.5Pro-LLM,10,57,62
grok3_Think-LLM,claude3-LLM,1,53,58
grok3_Think-LLM,claude3-LLM,2,56,56
grok3_Think-LLM,claude3-LLM,3,54,54
grok3_Think-LLM,claude3-LLM,4,53,58
grok3_Think-LLM,claude3-LLM,5,57,62
grok3_Think-LLM,claude3-LLM,6,54,54
grok3_Think-LLM,claude3-LLM,7,54,59
grok3_Think-LLM,claude3-LLM,8,54,54
grok3_Think-LLM,claude3-LLM,9,53,58
grok3_Think-LLM,claude3-LLM,10,56,56
